Word,Segment,onset,offset,Order,LogFreq,LogFreq_Prev,LogFreq_Next,SndPower,Length,Position,Sentence,IsLexical,NGRAM,RNN,CFG
once,1,7.147755,7.426186,22,12.15,14.12,14.78,4.112e-09,0.278430999999998,1,2,1,4.259243326,4.34002927609496,4.01390591522726
or,1,7.380186,7.5455,23,14.78,12.15,10.74,3.7316e-09,0.165314,2,2,0,4.41524107,4.10366322846989,8.3394214842535
twice,1,7.4995,8.003925,24,10.74,14.78,13.1,3.6962e-09,0.504424999999999,3,2,1,1.875912727,3.57993723834552,3.51060351824561
she,1,7.957925,8.307225,25,13.1,10.74,13.53,3.9655e-09,0.349299999999999,4,2,0,2.205315117,3.36041544537162,1.68700985636732
peeped,1,8.261225,8.604776,27,6.48,13.53,13.24,3.8228e-09,0.343551000000001,5,2,1,3.654884948,3.85503853392649,3.9897161407561
into,1,8.560545,8.822055,28,13.24,6.48,16.96,4.0132e-09,0.261509999999999,6,2,0,1.938248707,2.23143314756968,4.30419613121539
the,1,8.776055,8.92981,29,16.96,13.24,12.16,3.4724e-09,0.153755,7,2,0,1.393761439,1.17950540941706,3.88379425405885
book,1,8.88381,9.277021,30,12.16,16.96,13.3,3.963e-09,0.393210999999997,8,2,1,0.824339779,0.826050458228709,4.40272835875919
her,1,9.231021,9.36083,31,13.3,12.16,9.75,4.1766e-09,0.129809,9,2,0,8.422283615,7.75793202890691,7.68133723014776
sister,1,9.31483,9.755932,32,9.75,13.3,14.56,3.751e-09,0.441101999999997,10,2,1,0.416480091,0.497410785404647,3.41753045425986
was,1,9.709932,10.007361,33,14.56,9.75,11.54,3.8532e-09,0.297428999999999,11,2,0,3.237820197,2.98659737162975,1.91923574575071
reading,1,9.961361,10.462327,34,11.54,14.56,14.57,3.86e-09,0.500965999999998,12,2,1,3.645284576,3.79389835085794,4.67661897667255
but,1,10.811429,10.972947,35,14.57,11.54,15.37,4.1365e-09,0.161517999999997,13,2,0,4.181344112,4.64404627736866,8.91734776326828
it,1,10.926947,11.060966,36,15.37,14.57,13.53,4.0183e-09,0.134019,14,2,0,3.043344561,2.35986458027534,1.70940982623358
had,1,11.014966,11.33634,37,13.53,15.37,13.96,4.2754e-09,0.321374,15,2,0,0.980686324,1.76623413243742,1.46834649013936
no,1,11.29034,11.468041,38,13.96,13.53,10.46,3.7688e-09,0.177700999999999,16,2,0,2.991921114,2.67575161004774,4.30604772586829
pictures,1,11.422041,11.974449,39,10.46,13.96,14.78,3.7696e-09,0.552408,17,2,1,5.255190588,4.47963629024819,5.43081499557635
or,1,11.928449,12.079452,40,14.78,10.46,8.44,3.6358e-09,0.151002999999999,18,2,0,3.658539069,3.26527992413374,8.65931203195555
conversations,1,12.033452,12.928923,41,8.44,14.78,15.9,4.0744e-09,0.895471000000001,19,2,1,1.987502935,5.86417958762022,5.07972422553547
in,1,12.882923,13.059482,42,15.9,8.44,15.37,3.9617e-09,0.176558999999999,20,2,0,2.323373119,2.71173670312404,2.19694652777499
it,1,13.013482,13.260738,43,15.37,15.9,16.19,3.8718e-09,0.247256,21,2,0,2.23092386,2.01934787616081,1.68489943217792
and,1,13.777672,13.989927,44,16.19,15.37,14.1,3.7422e-09,0.212254999999997,22,2,0,3.973424633,4.78530857552113,8.73863654088739
what,1,13.943927,14.156704,45,14.1,16.19,15.68,3.5615e-09,0.212777000000001,23,2,0,7.307112353,6.17135802054735,4.56162284962636
s,1,14.110704,14.272852,46,15.68,14.1,16.96,3.9385e-09,0.162147999999997,24,2,0,0.779051933,4.87401633661957,3.82514342762829
the,1,14.226852,14.453012,47,16.96,15.68,13.43,4.2914e-09,0.226159999999998,25,2,0,1.955639001,2.45861997035916,4.1111684976565
use,1,14.407012,14.772531,48,13.43,16.96,16.21,4.0179e-09,0.365518999999997,26,2,1,0.941321477,1.20223985397631,3.65108216817958
of,1,14.726531,14.868313,49,16.21,13.43,16.18,3.6337e-09,0.141781999999997,27,2,0,1.877723178,2.01019173738801,2.15584151006279
a,1,14.822313,15.080115,50,16.18,16.21,12.16,3.9452e-09,0.257802000000003,28,2,0,1.551038125,1.51137356951839,3.78379056327514
book,1,15.034115,15.476794,51,12.16,16.18,12.07,3.8397e-09,0.442679000000002,29,2,1,0.824339779,0.849273240420503,3.23926061510616
thought,1,15.430794,15.893213,52,12.07,12.16,8.65,3.6886e-09,0.462418999999999,1,3,1,6.377570434,6.92919831262336,3.41476495342993
Alice,1,15.847213,16.278225,53,8.65,12.07,12.45,3.5197e-09,0.431012000000003,2,3,1,5.814071771,5.09541315311497,3.44155771146881
without,1,16.232225,16.613652,54,12.45,8.65,10.46,3.6083e-09,0.381426999999999,3,3,0,1.795419087,3.32528872454535,2.28207332395351
pictures,1,16.567652,17.155154,55,10.46,12.45,14.78,3.5104e-09,0.587502000000001,4,3,1,6.167259166,4.99912080105569,4.73718117291488
or,1,17.109154,17.312659,56,14.78,10.46,8.44,3.8346e-09,0.203505,5,3,0,2.389715345,3.2872609035579,8.6824403586792
conversation,1,17.266659,18.321856,57,8.44,14.78,14.05,3.8435e-09,1.055197,6,3,1,1.987502935,5.82803568751454,4.53449026965705
So,1,19.526536,19.767958,58,14.05,8.44,13.1,3.7008e-09,0.241421999999996,1,4,0,3.941534123,4.79917005681811,4.2449063953039
she,1,19.721958,19.972131,59,13.1,14.05,14.56,3.7768e-09,0.250173,2,4,0,1.407434495,1.55838572766187,0.329808417400617
was,1,19.926131,20.22015,60,14.56,13.1,10.29,1.4583e-08,0.294018999999999,3,4,0,1.219911654,1.38040455225253,1.28704141898472
considering,1,20.17415,20.974436,61,10.29,14.56,15.9,0.012323,0.800286,4,4,1,3.802444994,3.80668595521906,5.5012322221673
in,1,20.928436,21.070218,62,15.9,10.29,13.3,0.00017013,0.141781999999999,5,4,0,1.933425268,2.07857658799911,5.02374555740965
her,1,21.024218,21.315652,63,13.3,15.9,12.56,0.012918,0.291433999999995,6,4,0,3.09947518,3.78988209339061,7.62903759039629
own,1,21.269652,21.54913,64,12.56,13.3,11.78,0.0017603,0.279478000000001,7,4,0,3.476231655,3.98461912977095,4.5864517989544
mind,1,21.50313,21.920286,65,11.78,12.56,14.79,0.0060602,0.417156000000002,8,4,1,0.601837035,0.801817401548013,4.31502985127492
as,1,22.165075,22.459062,66,14.79,11.78,13.22,0.014015,0.293986999999998,9,4,0,4.20964694,4.58567201946124,3.15081140086721
well,1,22.413062,22.687249,67,13.22,14.79,14.79,0.0015584,0.274186999999998,10,4,0,2.948975228,2.92292537545499,3.60269696082064
as,1,22.641249,22.782327,68,14.79,13.22,13.1,0.006255,0.141078,11,4,NaN,1.917284019,3.04196336603994,3.50429142893337
she,1,22.736327,22.973891,69,13.1,14.79,13.21,0.0058643,0.237563999999999,12,4,0,1.66344885,1.84194140364509,2.01942303334374
could,1,22.927891,23.428857,70,13.21,13.1,15.42,5.2977e-05,0.500965999999998,13,4,0,3.150307324,3.08435360840261,4.06901987698615
for,1,23.382857,23.56012,71,15.42,13.21,16.96,0.015868,0.177263,14,4,0,5.97488631,5.12834758826818,3.16037891686851
the,1,23.51412,23.644368,72,16.96,15.42,10.85,0.0081857,0.130247999999998,15,4,0,1.602773833,1.44712837538116,4.74885948359478
hot,1,23.598368,23.943687,73,10.85,16.96,12.38,0.020678,0.345319,16,4,1,2.414520182,2.49949087945846,4.45787259852182
day,1,23.897687,24.207089,74,12.38,10.85,12.51,0.001269,0.309401999999999,17,4,1,0.515633001,0.805001185436337,4.13803268911222
made,1,24.161089,24.410626,75,12.51,12.38,13.3,0.0035437,0.249536999999997,18,4,1,3.256944538,3.27519594211686,1.60456456439875
her,1,24.364626,24.529259,76,13.3,12.51,12,0.0016983,0.164632999999998,19,4,0,4.967212642,4.03487667183173,1.99961073135813
feel,1,24.483259,24.781783,77,12,13.3,13.28,0.0082253,0.298524,20,4,1,3.667342178,2.5788811038239,2.37969053549647
very,1,24.735783,25.105048,78,13.28,12,7.09,1.3203e-05,0.369264999999999,21,4,1,2.290951101,2.32247057806765,3.71082052190554
sleepy,1,25.059048,25.587189,79,7.09,13.28,16.19,0.0010982,0.528140999999998,22,4,1,3.112952242,3.59954338824665,4.83742839544581
and,1,25.541189,25.726794,80,16.19,7.09,10.72,0.005671,0.185605000000002,23,4,0,3.085978186,4.27947622303352,8.85230006075281
stupid,1,25.680794,26.338245,81,10.72,16.19,11.63,1.1881e-05,0.657450999999998,24,4,1,2.290951101,4.60605088612815,4.84248636750678
whether,1,26.878912,27.188313,82,11.63,10.72,16.96,9.0654e-07,0.309400999999998,25,4,0,2.130727865,3.19676634950555,2.45216368634682
the,1,27.142313,27.360162,83,16.96,11.63,9.73,3.0229e-06,0.217848999999998,26,4,0,2.050686008,1.6772128686657,4.67372574155695
pleasure,1,27.314162,27.822871,84,9.73,16.96,16.21,0.0026486,0.508709000000003,27,4,1,0.824339779,0.805339212373422,4.32254524915654
of,1,27.776871,27.930626,85,16.21,9.73,11.69,0.009104,0.153755,28,4,0,1.877723178,2.13064478810605,2.1299054492039
making,1,27.884626,28.301783,86,11.69,16.21,16.18,0.0035731,0.417156999999996,29,4,1,4.029100148,4.56550185494823,3.66478318859839
a,1,28.255783,28.422346,87,16.18,11.69,7.19,2.8136e-06,0.166563,30,4,0,2.975447673,2.83960154751022,4.42702122662586
daisy,1,28.376346,28.864504,88,7.19,16.18,10.06,0.0081461,0.488157999999999,31,4,1,0.82456567,1.11176656322319,4.38248021233482
chain,1,28.818504,29.23566,89,10.06,7.19,14.06,0.0010658,0.417155999999999,32,4,1,0,0,0
would,1,29.297415,29.523007,90,14.06,10.06,14.95,0.0018934,0.225591999999995,33,4,0,6.470684078,6.88395895437711,4.35242854943625
be,1,29.477007,29.654708,91,14.95,14.06,11.31,0.0060536,0.177701000000003,34,4,0,0.345397474,0.90164323977985,2.81902137053629
worth,1,29.608708,29.918109,92,11.31,14.95,16.96,6.6212e-05,0.309400999999998,35,4,1,4.393748195,4.95874355828533,4.90064171251201
the,1,29.872109,30.00505,93,16.96,11.31,10.81,0.0017416,0.132941000000002,36,4,0,4.576786433,5.03703545191253,4.68205359590521
trouble,1,29.95905,30.41063,94,10.81,16.96,16.21,0.0006692,0.45158,37,4,1,2.060336209,0.79979295447383,4.41982582913135
of,1,30.36463,30.504776,95,16.21,10.81,11.99,0.00055254,0.140145999999998,38,4,0,1.877723178,2.02047009181756,2.1337333990518
getting,1,30.458776,30.886804,96,11.99,16.21,13.74,1.0228e-06,0.428028000000001,39,4,1,4.029100148,4.4909108913972,3.61391201294432
up,1,30.840804,31.067497,97,13.74,11.99,16.19,0.00011781,0.226693000000001,40,4,0,3.975451009,5.43139330613601,6.52289669953384
and,1,31.021497,31.223122,98,16.19,13.74,9.07,0.00049451,0.201625,41,4,0,3.416470169,3.58628842721136,8.64673958335618
picking,1,31.177122,31.558381,99,9.07,16.19,16.96,0.0034241,0.381259,42,4,1,3.00144176,5.31814742117754,3.40607489636525
the,1,31.512381,31.632956,100,16.96,9.07,5.7,5.7993e-05,0.120574999999995,43,4,0,4.467827191,3.22760769573059,4.45557279442411
daisies,1,31.586956,32.300694,101,5.7,16.96,13.76,0.013625,0.713737999999992,44,4,1,3.384214247,3.91170380010838,5.41221003349468
when,1,32.833264,33.081638,102,13.76,5.7,9.96,0.00074419,0.248373999999998,1,5,0,7.001229214,6.54462832399986,4.73940017690367
suddenly,1,33.035638,33.809266,103,9.96,13.76,16.18,0.0009193,0.773627999999995,2,5,1,3.866524987,3.2453319238589,2.95980418604128
a,1,34.074558,34.236765,104,16.18,9.96,11.92,0.0038981,0.162207000000002,3,5,0,2.117347139,4.56871654543812,3.42411735346053
White,1,34.190765,34.611443,105,11.92,16.18,8.66,0.0026644,0.420677999999995,4,5,1,2.782802419,2.34930189827703,4.22933659641097
Rabbit,1,34.565443,35.018517,106,8.66,11.92,14.97,0.017017,0.453074000000001,5,5,1,1.836019692,2.64474922383854,3.97629149978132
with,1,34.972517,35.186136,107,14.97,8.66,9.48,8.3752e-05,0.213619000000001,6,5,0,3.776234981,4.28646098999737,2.09248201416929
pink,1,35.140136,35.557293,108,9.48,14.97,10.97,0.01633,0.417157000000003,7,5,1,4.384214261,4.83991294418164,4.34787210933896
eyes,1,35.511293,35.991261,109,10.97,9.48,10.34,3.8635e-07,0.479967999999992,8,5,1,1.957499281,3.06429260514465,4.7846663144011
ran,1,35.945261,36.203823,110,10.34,10.97,11.35,0.00010213,0.258561999999998,9,5,1,2.989369873,3.41126634165348,1.66368678510235
close,1,36.157823,36.610898,111,11.35,10.34,14.4,0.00072237,0.453075000000005,10,5,1,4.985250711,5.91514938133053,3.82518583720778
by,1,36.564898,36.814436,112,14.4,11.35,0,0.00011419,0.249538000000001,11,5,0,1.693322949,1.62239676151058,2.20919003967546
her,1,36.768436,37.137701,113,0,14.4,14.09,0.014636,0.369264999999992,1,6,NaN,2.421403217,2.22463735587982,2.07300750576831
There,1,38.468572,38.678328,114,14.09,0,14.56,4.3376e-07,0.209755999999992,2,6,0,5.762548666,7.54662566756193,4.19557902711268
was,1,38.632328,38.84981,115,14.56,14.09,11.99,2.4958e-07,0.217482000000004,3,6,0,0.908334731,2.03775139985651,1.3574603721563
nothing,1,38.80381,39.220966,116,11.99,14.56,14.05,2.8556e-07,0.417156000000006,4,6,1,2.748676251,6.07558470993583,5.01687160133061
so,1,39.174966,39.514477,117,14.05,11.99,13.28,5.0908e-07,0.339511000000002,5,6,0,2.586406708,3.75991207399868,3.02653736536045
very,1,39.468477,40.09498,118,13.28,14.05,8.36,6.6792e-07,0.626502999999992,6,6,1,4.756336646,3.650989709823,5.68554375569124
remarkable,1,40.04898,40.819225,119,8.36,13.28,14.5,0.017236,0.770245000000003,7,6,1,5.803175847,3.80598236033588,4.47207002574242
in,1,40.773225,40.980966,120,14.5,8.36,15.48,0.017309,0.207740999999999,8,6,0,6.301896912,3.49971190300307,2.57468001956164
that,1,40.934966,41.352123,121,15.48,14.5,10.91,0.0099405,0.417157000000003,9,6,0,2.050686008,1.67309606522034,4.8366303444493
nor,1,41.820953,42.088964,122,10.91,15.48,12.85,0.00037428,0.268011000000001,10,6,0,7.130717971,7.07421344781743,8.68656051238648
did,1,42.042964,42.250082,123,12.85,10.91,8.65,8.2457e-07,0.207118000000008,11,6,0,4.059163597,3.07118585191872,1.49011075704855
Alice,1,42.204082,42.657157,124,8.65,12.85,13.39,0.00012926,0.453074999999998,12,6,1,7.053084512,4.15620880677908,3.75867260640171
think,1,42.611157,42.848721,125,13.39,8.65,15.37,0.0085044,0.237563999999999,13,6,1,8.451483363,6.92714969340309,1.98855183205728
it,1,42.802721,42.946757,126,15.37,13.39,14.05,0.00051335,0.144036000000007,14,6,0,2.133621265,3.09691926744512,2.02117653218993
so,1,42.900757,43.179433,127,14.05,15.37,13.28,0.0038045,0.278676000000004,15,6,0,3.388034464,3.68886596406161,2.97232495062043
very,1,43.133433,43.519198,128,13.28,14.05,13.09,0.015229,0.385765000000006,16,6,1,3.084858696,3.90363601476568,5.69735571307379
much,1,43.473198,43.830524,129,13.09,13.28,13.9,0.0077607,0.357326,17,6,1,4.943959145,4.41663142255664,3.29393807963921
out,1,43.784524,44.000431,130,13.9,13.09,16.21,0.013603,0.215906999999994,18,6,0,2.615553305,3.21454031057007,3.16364799486678
of,1,43.954431,44.105864,131,16.21,13.9,16.96,0.00065942,0.151432999999997,19,6,0,5.826462563,5.46745362426121,2.52179124037888
the,1,44.059864,44.201647,132,16.96,16.21,13.1,0.018301,0.141782999999997,20,6,0,1.28155003,1.41749663825152,4.93562691531769
way,1,44.155647,44.512939,133,13.1,16.96,16.35,0.0081513,0.357292000000001,21,6,1,0.824339779,0.84384308874671,4.27626169354248
to,1,44.466939,44.678655,134,16.35,13.1,11.41,0.0016697,0.211715999999988,22,6,0,5.33318946,5.54917690560579,3.08329799976954
hear,1,44.632655,44.848177,135,11.41,16.35,16.96,0.0097849,0.215521999999993,23,6,1,0.66195729,0.809292835543498,2.39448814750113
the,1,44.802177,44.955932,136,16.96,11.41,8.66,0.0069482,0.15375499999999,24,6,0,2.592977481,2.57888627568837,4.53665477866276
Rabbit,1,44.909932,45.304174,137,8.66,16.96,12.79,0.0084911,0.394241999999991,25,6,1,4.344849413,2.75099648554839,4.04095243614246
say,1,45.258174,45.542599,138,12.79,8.66,16.35,0.0082525,0.284424999999999,26,6,1,7.53689012,7.62171141244367,2.29668198090304
to,1,45.496599,45.735575,139,16.35,12.79,11.24,0.0053049,0.238975999999994,27,6,0,5.146629978,4.84178790839359,4.13180185110879
itself,1,45.689575,46.296885,140,11.24,16.35,11.64,0.0010399,0.607309999999991,28,6,0,3.171368348,3.12132167290217,2.03022123279727
Oh,1,46.805793,46.981658,141,11.64,11.24,10.29,2.2835e-06,0.175864999999995,29,6,0,7.566986788,8.86603126143161,6.97047922987108
dear,1,46.935658,47.362463,142,10.29,11.64,11.64,0.017203,0.426804999999995,30,6,1,1.059176842,7.75242144834898,1.59968707239946
Oh,1,47.651701,47.817429,143,11.64,10.29,10.29,0.016817,0.165727999999987,31,6,0,4.669435007,7.29044707351454,3.84622602865047
dear,1,47.771429,48.152667,144,10.29,11.64,15.79,0.018238,0.381237999999996,32,6,1,3.860678393,5.48038386420524,3.54764090441688
I,1,48.307503,48.418361,145,15.79,10.29,11,0.023727,0.110857999999993,33,6,0,2.088240405,1.78025521686614,0.720338114973816
shall,1,48.372361,48.619606,146,11,15.79,14.95,0.0013869,0.247244999999992,34,6,0,2.392818026,2.76714300091865,3.98889274261163
be,1,48.573606,48.764395,147,14.95,11,12.87,0.012924,0.190788999999995,35,6,0,0.778503815,0.715589962498132,4.31637611673859
late,1,48.718395,49.158381,149,10.92,12.87,13.76,0.0027085,0.43998599999999,36,6,1,4.393748195,4.91362100599,5.28571997352983
when,1,50.06082,50.226945,150,13.76,10.92,13.1,0.00065468,0.166125000000001,37,6,0,4.647078431,5.91599148420268,3.72777224226584
she,1,50.180945,50.407373,151,13.1,13.76,12.07,0.012053,0.226427999999991,38,6,0,1.500249166,1.86389452160586,1.59879507111107
thought,1,50.361373,50.648707,152,12.07,13.1,15.37,0.021723,0.287334000000001,39,6,1,1.138946301,1.26391943016988,1.31149952533937
it,1,50.602707,50.770997,153,15.37,12.07,13.02,0.016463,0.168289999999992,40,6,0,3.521044465,4.00615924071607,1.62128495505732
over,1,50.724997,51.097973,154,13.02,15.37,8.92,0.018549,0.372975999999994,41,6,0,4.197854095,6.38399438990345,5.74043080790253
afterwards,1,51.051973,51.768449,155,8.92,13.02,15.37,0.0021969,0.716475999999993,42,6,1,3.749626337,2.86335668381632,2.90708471222388
it,1,51.722449,51.864232,156,15.37,8.92,9.388,0.019087,0.141783000000004,43,6,0,4.643690065,3.86453531640028,3.01133130105217
occurred,1,51.818232,52.259334,157,9.388,15.37,16.35,0.016224,0.441101999999994,44,6,1,1.450426889,2.1112452972443,1.44565208626301
to,1,52.213334,52.379062,158,16.35,9.388,13.3,9.4983e-05,0.165727999999987,45,6,0,3.634986599,3.68773279566907,4.22839132728079
her,1,52.333062,52.599259,159,13.3,16.35,15.48,1.1057e-06,0.266196999999991,46,6,0,2.296063548,3.44670021402119,2.37482567697104
that,1,52.553259,52.774164,160,15.48,13.3,13.1,6.8221e-07,0.220905000000002,1,7,0,1.985675875,3.85868210605958,2.20571134578786
she,1,52.92836,53.196214,161,13.1,15.48,9.63,0.018372,0.267854,2,7,0,2.013829215,1.82346352004716,2.44919577085876
ought,1,53.150214,53.432667,162,9.63,13.1,16.35,0.0097558,0.282452999999997,3,7,0,3.150307324,2.93490078796856,4.33165906919873
to,1,53.386667,53.603126,163,16.35,9.63,14.92,0.015999,0.216458999999986,4,7,0,5.389927992,6.00380356785611,4.13781673034207
have,1,53.557126,53.839742,164,14.92,16.35,9.12,0.0018126,0.282616000000004,5,7,0,0.001443418,0.22175923882257,2.13393216745522
wondered,1,53.793742,54.17498,165,9.12,14.92,14.5,4.6876e-07,0.381237999999989,6,7,1,6.197854124,7.01622507348621,2.68496653688048
at,1,54.12898,54.414436,166,14.5,9.12,14.99,0.007633,0.285455999999996,7,7,0,5.644155149,3.11981646714775,4.56310102953875
this,1,54.368436,54.737701,167,14.99,14.5,14.57,0.01382,0.369264999999999,8,7,0,1.255200496,1.10806088334279,4.35542812354866
but,1,54.691701,54.869402,168,14.57,14.99,14.5,0.012424,0.177700999999992,1,8,0,7.130717971,7.01112266382419,8.30744921548048
at,1,54.823402,55.096885,169,14.5,14.57,16.96,0.0065832,0.273482999999999,2,8,0,2.643683392,4.22698375795137,3.60431520000405
the,1,55.050885,55.192667,170,16.96,14.5,13.58,0.0057508,0.141781999999999,3,8,0,1.470929829,1.60534656704722,4.77664460815319
time,1,55.146667,55.672219,171,13.58,16.96,15.37,2.2591e-06,0.525551999999998,4,8,1,0.824339779,0.79747904126289,4.17458891117608
it,1,55.626219,55.780441,172,15.37,13.58,14.35,0.0078443,0.154221999999997,5,8,0,3.719363572,4.09180109252033,1.68907506149723
all,1,55.734441,55.931951,173,14.35,15.37,10.54,0.0030614,0.197510000000001,6,8,0,6.615586582,6.58732676348681,3.96782087480586
seemed,1,55.885951,56.241464,174,10.54,14.35,11.95,0.00021283,0.355512999999995,7,8,1,1.908334745,3.56578712550834,1.87950898679999
quite,1,56.195464,56.485728,175,11.95,10.54,10.72,8.3472e-05,0.290263999999993,8,8,1,2.701883572,3.13749417511636,4.32520482975328
natural,1,56.439728,57.103561,176,10.72,11.95,14.57,0.00048272,0.663832999999997,9,8,1,2.404132513,3.25924447702461,4.8918175053744
but,2,0.479839572,0.57770099999999,177,14.57,10.72,13.76,4.1601e-09,0.0978614279999905,10,8,0,3.085978186,4.10226403860119,8.78677452638565
when,2,0.592424402,0.796082999999996,178,13.76,14.57,16.96,4.2813e-09,0.203658597999996,11,8,0,6.103112735,6.24537118876839,4.63354651248371
the,2,0.810806402,0.898229000000001,179,16.96,13.76,8.66,3.6109e-09,0.0874225980000006,12,8,0,5.644155149,2.80031768077754,3.27518684966725
Rabbit,2,0.912952402,1.401087,180,8.66,16.96,12.19,4.0829e-09,0.488134598000004,13,8,1,1.664408887,2.65065927334348,4.35689091847061
actually,2,1.415810402,1.903944,181,12.19,8.66,11.38,3.8481e-09,0.488133597999996,14,8,1,4.042454299,4.13406282039324,3.22532624720277
took,2,1.918667402,2.27509999999999,182,11.38,12.19,16.18,4.2653e-09,0.356432597999995,15,8,1,1.924276678,2.72063986895973,1.56518451026452
a,2,2.385605402,2.543054,183,16.18,11.38,10.95,3.3935e-09,0.157448597999998,16,8,0,1.884629466,2.0793556473235,4.35599180530327
watch,2,2.557777402,3.10122299999999,184,10.95,16.18,13.9,3.8617e-09,0.54344559799999,17,8,1,1.624721812,2.31054123477647,3.89112063187795
out,2,3.211728402,3.41708,185,13.9,10.95,16.21,3.8785e-09,0.205351597999999,18,8,0,1.836019692,2.51366686799723,3.36605711806248
of,2,3.431803402,3.580495,186,16.21,13.9,12.87,4.0098e-09,0.148691597999999,19,8,0,3.776234981,3.91390954610808,2.1383023151657
its,2,3.595218402,3.776048,187,12.87,16.21,4.078,3.925e-09,0.180829598000003,20,8,0,4.384214261,4.32077987814026,2.87716057467332
waistcoat,2,3.790771402,4.37018399999999,188,4.078,12.87,9.28,3.7962e-09,0.579412597999995,21,8,1,3.825864587,3.50095316827267,2.89291099156892
pocket,2,4.384907402,5.12499199999999,189,9.28,4.078,16.19,3.9583e-09,0.740084597999992,22,8,1,0,0,0
and,2,5.637331402,5.73299399999999,190,16.19,9.28,11.07,3.8752e-09,0.0956625979999908,23,8,0,3.383915273,4.1302616042001,8.74879001188929
looked,2,5.747717402,6.05850099999999,191,11.07,16.19,14.5,3.8811e-09,0.310783597999992,24,8,1,3.571305237,2.81381225457905,1.97286538999969
at,2,6.073224402,6.271534,192,14.5,11.07,15.37,3.8123e-09,0.198309598000002,25,8,0,2.456638909,3.44642543331512,3.5835258678579
it,2,6.286257402,6.465576,193,15.37,14.5,16.19,3.9875e-09,0.179318597999998,26,8,0,2.633710964,2.48705753216496,1.32856983761539
and,2,6.887374402,6.97821999999999,194,16.19,15.37,13.47,3.9119e-09,0.0908455979999934,27,8,0,3.973424633,4.21116263691201,8.65196682741177
then,2,6.992943402,7.13605199999999,195,13.47,16.19,6.41,4.0187e-09,0.143108597999992,28,8,0,2.92744249,2.58138706028149,3.77952529906593
hurried,2,7.150775402,7.5265,196,6.41,13.47,15.08,3.7396e-09,0.375724597999999,29,8,1,6.65491821,5.33960801108801,3.58155589957434
